Acceleration,Ballcontrol,Finishing,GKdiving,Aggression,POS
88,77,72,12,49,ST
51,61,36,9,81,MID
69,78,54,5,72,MID
75,72,77,14,78,DEF
85,71,54,9,71,DEF
63,76,76,15,80,DEF
71,78,68,10,46,MID
58,18,13,80,40,GK
75,68,51,15,83,DEF
73,76,48,8,80,MID
65,70,32,13,76,MID
49,20,12,78,31,GK
88,72,74,12,62,MID
54,15,13,78,34,GK
45,12,13,76,37,GK
78,76,60,11,75,MID
55,72,47,7,79,MID
32,53,27,13,79,DEF
55,58,24,11,87,DEF
75,76,29,12,66,MID
86,72,75,9,50,ST
74,78,74,11,55,MID
30,64,44,11,72,DEF
64,78,57,10,68,MID
67,70,36,9,82,MID
75,76,31,15,78,MID
66,74,82,5,70,DEF
62,75,81,7,70,DEF
76,78,70,16,67,MID
72,73,53,6,70,DEF
71,72,46,9,78,MID
40,16,10,75,24,GK
73,77,50,9,86,MID
75,78,72,7,59,MID
39,67,22,12,66,DEF
64,68,34,16,75,DEF
70,74,46,8,75,MID
51,63,39,11,79,MID
91,75,75,14,67,ST
69,68,22,8,80,MID
67,62,50,15,90,MID
67,67,42,8,81,DEF
53,62,52,13,82,MID
64,47,20,6,77,DEF
68,71,52,7,88,MID
66,77,72,11,69,MID
68,65,44,7,85,DEF
64,73,51,10,78,MID
77,79,65,11,70,MID
58,20,9,77,35,GK
74,78,70,6,49,MID
55,25,18,81,27,GK
78,74,55,7,74,DEF
31,21,7,71,41,GK
55,23,22,76,40,GK
58,57,49,14,89,DEF
75,75,53,14,68,MID
71,76,62,6,78,DEF
56,63,35,15,92,MID
66,81,67,14,73,MID
66,79,67,7,68,MID
67,77,70,8,76,MID
66,56,42,13,79,MID
33,58,43,6,79,DEF
78,77,68,7,60,MID
36,63,25,11,74,DEF
54,68,46,11,76,DEF
76,77,44,15,66,DEF
58,80,68,9,60,MID
65,69,28,11,76,MID
38,56,35,6,74,DEF
55,52,51,9,88,DEF
41,22,12,80,25,GK
77,73,40,7,75,MID
62,73,25,12,75,MID
53,59,49,6,69,DEF
72,78,49,14,79,MID
54,64,35,8,85,MID
67,73,65,10,72,MID
52,55,41,7,80,DEF
76,74,52,11,76,DEF
52,76,68,12,75,MID
72,69,52,9,74,DEF
66,60,29,10,77,DEF
69,77,56,9,81,MID
74,74,22,8,68,MID
51,22,11,80,33,GK
75,68,32,13,79,MID
48,61,29,15,72,DEF
36,21,10,75,25,GK
42,20,15,78,20,GK
30,55,22,6,69,DEF
53,60,41,15,85,MID
78,77,50,8,61,DEF
75,78,65,6,64,MID
68,69,51,14,87,MID
64,76,41,14,79,DEF
66,70,51,8,72,MID
76,75,56,13,76,DEF
44,22,12,78,19,GK
91,76,75,13,60,ST
76,75,33,5,72,DEF
50,58,29,11,73,DEF
42,18,14,77,37,GK
63,64,29,13,82,MID
62,72,44,12,74,MID
74,79,65,13,49,MID
69,80,53,6,70,MID
50,59,45,8,74,DEF
65,61,40,7,78,DEF
68,74,49,11,79,DEF
70,75,48,10,72,MID
49,21,14,80,40,GK
89,74,72,10,74,ST
66,76,59,6,88,MID
62,63,38,12,66,DEF
57,82,70,14,71,MID
83,71,70,10,35,MID
51,12,10,79,21,GK
69,73,44,8,79,MID
55,74,45,11,46,DEF
65,69,41,14,91,DEF
75,74,48,16,81,MID
72,67,38,10,70,MID
51,73,42,14,78,MID
36,60,20,11,70,DEF
75,78,60,9,72,MID
46,62,43,13,66,DEF
48,68,44,12,81,DEF
38,67,38,9,76,DEF
38,67,56,6,81,DEF
36,54,33,12,78,DEF
58,34,21,12,78,DEF
59,13,15,73,28,GK
74,75,65,8,47,MID
29,19,12,74,17,GK
63,79,68,5,63,MID
38,63,20,14,76,DEF
64,78,61,9,80,MID
78,74,71,13,73,DEF
68,80,70,12,61,MID
34,62,30,15,77,DEF
63,75,55,13,76,MID
34,21,8,77,36,GK
34,82,60,10,77,MID
68,63,33,11,72,DEF
74,75,51,14,69,MID
32,17,8,75,40,GK
53,79,62,14,63,MID
69,78,71,13,74,MID
69,72,40,11,81,MID
41,25,10,76,42,GK
61,57,38,14,68,DEF
66,62,30,6,75,DEF
75,69,41,10,67,MID
73,53,57,16,67,MID
52,75,63,9,80,MID
68,79,69,15,59,MID
67,75,49,9,84,MID
68,73,45,9,84,MID
67,73,46,14,78,MID
46,32,20,75,28,GK
70,76,71,6,68,MID
74,71,48,9,72,MID
68,76,72,13,62,MID
51,18,14,75,33,GK
64,44,33,14,76,MID
36,22,12,75,26,GK
69,76,57,10,74,MID
75,75,62,12,71,MID
70,76,63,12,60,MID
76,81,58,6,72,MID
74,67,48,15,67,MID
73,74,29,11,74,MID
60,67,40,7,75,MID
43,23,11,77,31,GK
66,68,52,13,85,MID
40,62,32,3,69,DEF
76,70,50,8,68,DEF
71,71,51,15,81,MID
67,68,20,8,77,DEF
74,77,54,13,71,MID
32,49,36,8,73,DEF
44,70,59,12,86,DEF
62,50,20,9,87,MID
78,75,53,11,65,DEF
68,72,57,12,82,MID
45,46,40,11,78,DEF
61,54,31,9,88,MID
64,79,64,16,72,MID
58,74,22,10,75,MID
55,23,17,74,40,GK
58,72,35,11,80,MID
90,76,77,12,53,ST
68,72,65,12,88,MID
38,22,11,77,35,GK
67,70,41,14,86,MID
67,66,54,15,76,DEF
75,78,57,6,66,MID
69,76,48,13,60,MID
67,76,56,12,71,MID
69,67,32,15,88,MID
52,53,29,12,72,MID
74,72,52,11,85,MID
54,63,36,9,70,DEF
46,73,76,8,78,DEF
69,76,55,12,72,MID
82,77,68,15,50,MID
32,57,39,16,88,DEF
68,77,64,6,70,MID
69,72,62,14,77,DEF
64,53,38,14,73,MID
70,77,50,14,60,MID
87,72,61,9,73,DEF
50,53,25,12,80,DEF
45,74,60,7,76,MID
74,76,71,6,76,MID
63,77,67,11,69,MID
59,72,78,15,79,DEF
55,59,48,11,93,MID
70,77,65,6,74,MID
56,56,43,12,82,DEF
75,79,54,5,70,MID
65,73,38,12,83,MID
64,74,33,11,75,DEF
46,59,21,9,81,DEF
62,55,35,10,60,DEF
59,24,16,75,29,GK
64,69,28,9,69,MID
74,78,66,8,63,MID
40,17,10,76,19,GK
67,78,68,12,83,MID
35,31,11,76,41,GK
60,66,37,8,81,MID
42,19,16,77,22,GK
48,58,32,7,76,DEF
68,72,57,12,82,MID
74,76,56,14,84,MID
45,59,45,17,89,DEF
62,73,68,15,82,MID
74,72,26,15,73,DEF
71,73,61,7,72,MID
70,78,53,6,64,MID
42,17,11,75,37,GK
61,72,79,10,72,DEF
78,70,57,9,80,MID
92,75,79,10,73,ST
85,76,43,8,74,DEF
78,79,71,7,72,MID
86,73,78,12,39,ST
50,62,52,10,75,MID
71,64,49,14,75,DEF
66,67,52,7,64,DEF
47,23,12,74,30,GK
62,69,55,8,72,MID
48,79,62,15,76,MID
60,73,42,7,76,MID
49,62,30,12,84,DEF
70,69,27,10,79,DEF
67,77,51,7,76,MID
65,75,64,9,83,MID
69,77,66,14,64,MID
54,77,45,10,75,MID
75,69,36,7,80,MID
67,58,37,13,84,MID
63,73,32,16,85,DEF
75,60,33,13,76,DEF
42,22,11,77,40,GK
50,22,11,77,38,GK
48,58,37,12,76,DEF
56,65,54,9,76,MID
58,17,17,76,35,GK
91,50,40,12,77,DEF
75,73,46,6,67,MID
65,77,52,9,78,MID
71,78,65,7,66,MID
50,21,20,74,35,GK
48,64,16,9,74,DEF
72,75,65,12,80,MID
34,34,6,78,40,GK
75,75,42,11,76,MID
70,72,46,13,84,MID
52,14,14,73,32,GK
94,67,77,12,48,ST
79,70,55,11,74,DEF
60,60,22,14,69,MID
34,60,30,14,80,DEF
69,70,40,16,90,DEF
68,72,76,7,74,DEF
54,10,18,79,22,GK
41,25,10,76,42,GK
61,63,34,12,66,DEF
70,77,66,7,74,MID
72,75,66,7,57,MID
70,63,30,13,68,MID
72,74,38,11,80,MID
49,62,30,12,84,DEF
52,71,76,15,89,DEF
75,78,62,16,70,MID
61,73,47,11,81,MID
68,75,61,15,76,MID
77,74,50,14,51,DEF
77,75,48,11,83,DEF
78,77,53,10,76,DEF
70,79,64,7,69,MID
50,22,13,75,35,GK
66,76,66,5,60,MID
69,75,56,7,80,MID
76,74,49,15,69,DEF
78,78,63,10,80,DEF
56,33,23,75,45,GK
54,79,60,16,62,MID
72,73,52,7,76,MID
74,67,48,15,67,MID
84,69,40,11,74,DEF
56,36,19,78,29,GK
33,20,10,76,38,GK
73,75,48,10,71,MID
43,24,10,79,30,GK
34,21,8,77,36,GK
73,77,66,10,62,MID
33,80,50,11,68,MID
68,78,61,7,67,MID
73,68,39,6,80,MID
69,62,43,6,78,MID
78,74,61,16,72,DEF
71,71,51,15,81,MID
53,74,61,12,65,MID
86,73,77,12,60,ST
58,32,11,74,21,GK
90,75,72,12,63,ST
69,76,63,7,69,MID
76,64,49,6,70,DEF
61,73,66,12,70,MID
73,77,67,9,72,MID
93,76,72,10,55,ST
76,73,38,7,71,DEF
66,77,69,8,62,MID
43,17,11,76,34,GK
66,66,34,16,84,MID
62,73,75,8,81,MID
66,67,49,6,83,MID
40,80,59,14,71,MID
65,77,56,1,86,MID
55,62,56,12,84,MID
66,71,58,6,78,DEF
59,70,43,11,87,MID
55,59,48,11,93,MID
54,60,30,9,77,DEF
56,56,43,12,82,DEF
71,76,60,13,79,MID
36,16,13,77,35,GK
39,21,13,76,29,GK
63,63,25,15,70,MID
48,53,20,14,82,DEF
79,74,49,8,78,DEF
46,74,74,14,74,DEF
62,55,31,14,77,DEF
79,78,50,5,78,MID
37,33,16,80,24,GK
68,56,40,10,76,MID
90,75,74,13,59,ST
69,74,64,7,79,MID
69,79,68,7,80,MID
62,73,68,15,82,MID
71,73,61,7,72,MID
89,75,72,9,33,ST
62,74,63,16,68,MID
69,75,60,7,82,MID
48,22,13,74,36,GK
74,68,45,12,68,MID
76,75,56,16,78,DEF
64,62,31,15,82,MID
50,19,13,78,23,GK
68,74,57,9,72,MID
58,62,48,13,88,MID
67,69,45,10,90,MID
68,72,64,6,87,MID
76,70,50,8,68,DEF
58,74,45,16,65,DEF
69,72,46,12,81,DEF
55,68,35,14,84,MID
50,74,54,16,82,MID
72,84,56,7,50,MID
32,68,27,6,80,DEF
59,24,10,77,25,GK
70,78,67,15,67,MID
73,74,37,12,72,MID
61,54,31,9,88,MID
74,74,59,6,82,MID
72,72,42,14,79,MID
62,67,49,7,71,MID
36,55,43,15,84,DEF
64,60,24,14,87,MID
40,23,10,77,26,GK
73,60,40,9,79,DEF
93,74,74,12,60,ST
67,60,32,7,81,MID
90,74,72,11,56,ST
85,78,56,14,74,MID
53,79,61,15,61,MID
53,67,60,8,91,MID
31,64,25,13,75,DEF
60,67,48,16,79,MID
74,75,44,9,70,MID
56,55,44,7,72,DEF
42,23,13,75,44,GK
79,74,70,8,78,DEF
54,67,36,12,74,MID
58,23,11,74,29,GK
45,54,48,12,72,DEF
35,22,14,73,26,GK
78,72,59,11,78,DEF
67,55,23,8,72,DEF
53,57,28,7,75,MID
71,65,35,7,81,MID
42,20,13,75,30,GK
41,21,9,71,41,GK
47,74,56,11,77,DEF
17,16,12,68,36,GK
74,70,65,7,66,MID
67,72,60,14,82,MID
69,48,20,10,76,MID
63,71,51,7,69,MID
93,75,73,3,72,ST
30,44,42,16,77,DEF
75,71,61,10,82,MID
75,69,42,7,63,DEF
56,69,36,7,76,MID
53,72,59,9,74,MID
64,68,75,9,79,DEF
76,80,48,10,64,MID
64,67,46,8,74,DEF
30,62,26,7,71,DEF
44,20,12,73,21,GK
52,53,22,11,81,MID
55,66,44,9,83,MID
30,25,11,72,40,GK
82,76,56,13,45,DEF
59,66,47,14,77,DEF
66,75,59,13,77,MID
69,69,55,16,71,MID
70,80,66,15,59,MID
65,61,31,14,76,MID
75,76,42,9,74,MID
60,75,63,10,70,MID
49,22,14,73,12,GK
72,60,33,12,71,MID
57,76,67,13,61,MID
75,78,55,10,76,MID
67,75,65,13,66,MID
69,69,36,13,82,MID
87,72,76,12,55,ST
29,19,16,73,22,GK
82,76,65,6,77,MID
68,53,12,9,70,MID
54,68,34,15,82,MID
66,67,34,7,68,MID
71,69,45,13,79,MID
41,13,13,73,32,GK
68,73,78,11,71,MID
64,60,41,9,76,MID
32,52,13,14,78,DEF
75,76,60,5,70,MID
60,73,40,14,84,DEF
63,74,56,12,72,MID
68,70,25,9,68,MID
47,66,81,12,85,DEF
72,70,35,14,69,MID
75,71,33,13,73,MID
77,68,36,9,69,DEF
68,78,71,8,59,MID
61,73,59,15,72,MID
32,56,23,6,74,DEF
36,14,13,75,21,GK
66,72,58,14,73,MID
55,51,41,7,76,MID
52,62,46,16,75,DEF
39,21,17,72,24,GK
37,66,56,8,71,DEF
40,67,36,12,71,DEF
35,23,11,78,35,GK
69,77,57,14,68,MID
66,72,47,13,78,MID
71,73,49,13,80,MID
32,14,15,74,32,GK
45,19,16,75,22,GK
56,55,44,7,72,DEF
54,62,38,8,81,MID
66,62,42,11,68,MID
60,72,62,13,70,MID
74,75,65,8,47,MID
64,56,25,10,73,MID
60,71,39,2,87,MID
74,67,30,11,80,MID
65,62,32,16,68,DEF
65,66,41,10,76,MID
66,72,41,9,68,MID
60,70,69,14,70,MID
74,70,65,7,66,MID
51,70,25,11,75,DEF
40,19,12,76,36,GK
53,75,56,13,68,DEF
80,74,55,15,70,DEF
53,72,59,9,74,MID
70,67,49,12,81,MID
65,70,44,16,71,MID
49,25,11,78,23,GK
73,74,46,15,66,MID
46,59,36,10,73,DEF
73,62,46,13,64,MID
42,20,12,75,31,GK
75,73,67,6,80,MID
31,55,32,6,87,DEF
67,75,53,11,75,MID
64,64,19,6,81,DEF
71,66,50,13,75,MID
41,22,17,76,22,GK
68,62,32,9,73,DEF
81,74,65,8,50,MID
42,24,12,74,24,GK
47,11,10,76,33,GK
72,69,53,9,75,MID
75,71,40,5,74,MID
73,70,58,13,74,MID
68,66,48,7,80,MID
55,52,31,14,70,DEF
59,77,73,11,60,MID
40,12,12,73,21,GK
68,72,59,15,72,MID
66,59,44,11,75,MID
52,69,55,8,88,MID
33,25,19,75,43,GK
40,57,40,8,77,DEF
72,63,46,15,63,MID
90,73,72,13,58,ST
67,77,68,7,63,MID
77,73,58,13,81,DEF
55,76,72,7,80,MID
42,20,19,74,23,GK
56,74,75,9,71,MID
61,59,46,13,78,MID
77,73,55,7,67,DEF
72,72,56,16,89,MID
56,55,35,9,76,MID
68,68,27,16,79,MID
34,61,27,13,77,DEF
75,74,61,14,75,MID
67,78,54,8,72,MID
74,76,68,9,68,MID
57,61,49,12,70,MID
65,72,74,14,73,DEF
76,75,58,7,83,DEF
66,50,27,10,78,MID
35,25,14,72,38,GK
64,77,59,12,69,MID
63,71,74,10,82,MID
90,72,74,6,37,ST
66,65,30,13,82,MID
68,62,27,8,72,MID
54,75,46,4,70,MID
58,24,13,71,37,GK
68,71,58,10,83,MID
32,54,51,12,84,DEF
64,79,54,11,68,MID
69,63,30,11,77,MID
51,81,69,14,61,MID
70,62,52,15,77,DEF
87,69,75,6,69,ST
92,74,72,14,64,ST
72,69,26,14,66,MID
66,70,32,10,67,MID
75,75,58,6,62,MID
77,74,36,12,74,DEF
56,69,59,7,74,MID
55,70,36,11,55,MID
70,54,40,12,74,MID
54,64,30,7,66,MID
38,64,23,9,71,DEF
68,74,40,7,75,MID
52,24,10,75,29,GK
72,75,73,9,55,MID
44,32,18,78,27,GK
37,70,80,10,76,DEF
72,62,22,8,80,MID
74,73,44,16,68,MID
52,72,78,10,74,DEF
66,60,22,6,70,MID
62,63,26,13,69,MID
73,75,55,9,77,MID
90,69,74,7,68,ST
44,72,74,13,71,DEF
46,26,16,75,22,GK
74,75,67,16,68,MID
62,63,22,7,79,MID
69,80,47,13,66,MID
90,71,75,6,62,ST
68,74,42,13,76,MID
52,56,31,6,72,MID
62,65,36,10,72,MID
74,64,38,8,70,MID
70,73,56,14,76,MID
48,22,13,77,18,GK
69,76,69,7,85,MID
45,22,20,77,22,GK
71,58,34,9,63,DEF
61,75,75,7,73,MID
77,72,30,15,66,DEF
52,58,42,6,68,DEF
63,72,63,11,78,MID
62,77,62,9,74,MID
55,75,59,12,69,MID
64,75,69,9,73,MID
67,72,39,10,80,MID
64,65,41,10,74,MID
41,17,15,74,23,GK
66,68,39,6,73,MID
71,69,45,13,79,MID
50,58,22,7,71,MID
74,61,45,5,72,MID
75,66,49,6,68,MID
41,21,9,71,41,GK
75,69,73,11,75,DEF
69,76,64,9,73,MID
77,66,61,14,75,DEF
47,52,25,15,76,DEF
71,71,42,15,76,MID
69,80,72,15,67,MID
75,75,69,12,71,MID
67,74,51,9,80,MID
71,72,42,13,76,MID
45,24,12,74,36,GK
17,16,12,68,36,GK
37,33,11,73,27,GK
83,75,51,13,69,DEF
41,15,18,74,20,GK
67,58,37,6,81,MID
68,68,66,9,70,MID
51,51,31,13,77,MID
79,75,51,12,72,MID
40,67,36,12,71,DEF
60,73,59,15,72,MID
32,22,15,74,39,GK
72,71,42,12,69,MID
48,21,11,71,26,GK
67,70,69,9,88,MID
67,74,68,13,72,MID
73,75,65,8,66,MID
54,62,38,8,81,MID
82,76,56,13,45,DEF
28,17,11,69,29,GK
48,72,74,7,77,DEF
66,73,60,9,76,MID
63,67,36,14,71,MID
58,72,42,14,85,DEF
65,70,46,15,78,MID
74,60,26,13,80,MID
89,76,75,3,38,ST
38,23,11,77,28,GK
55,60,14,3,64,MID
49,63,35,11,79,DEF
42,60,39,10,80,DEF
65,52,15,13,72,MID
28,13,11,74,45,GK
57,16,12,70,44,GK
70,64,25,13,68,MID
47,24,13,78,20,GK
71,76,69,10,68,MID
65,82,61,12,82,MID
48,21,19,73,41,GK
69,69,36,13,82,MID
72,69,53,9,75,MID
44,68,58,12,80,DEF
39,9,20,68,20,GK
77,73,58,13,81,DEF
67,73,68,7,57,MID
73,70,35,9,75,MID
80,72,70,10,70,DEF
71,73,51,6,67,MID
42,18,13,73,27,GK
77,73,55,7,67,DEF
72,74,61,10,85,MID
64,59,22,10,64,DEF
29,21,13,74,21,GK
66,68,34,11,65,DEF
69,73,64,14,73,MID
32,71,61,10,81,DEF
60,59,28,8,82,MID
76,75,72,16,56,MID
50,55,30,13,94,MID
47,69,59,13,86,DEF
60,75,62,12,80,MID
62,76,61,6,78,MID
28,13,12,74,28,GK
74,79,70,12,67,MID
65,57,43,7,85,MID
65,76,58,13,49,MID
58,80,28,14,73,DEF
51,60,19,13,70,MID
66,73,63,16,84,MID
75,70,45,9,78,MID
62,60,41,9,62,DEF
52,22,12,77,34,GK
59,25,12,74,29,GK
67,75,70,8,72,MID
43,19,11,78,43,GK
46,19,13,74,34,GK
92,76,73,7,38,ST
66,75,60,8,60,MID
69,77,61,9,68,MID
55,51,41,7,76,MID
73,69,30,13,81,MID
74,72,42,15,80,MID
73,74,54,8,70,MID
71,75,54,10,90,MID
51,61,21,7,83,MID
31,59,25,8,78,DEF
49,21,10,74,12,GK
70,63,40,7,85,DEF
36,66,31,11,82,DEF
69,74,55,11,75,MID
73,68,54,6,77,MID
62,76,39,16,70,MID
77,69,34,11,77,DEF
66,69,53,12,76,MID
58,77,58,13,49,MID
66,72,47,13,78,MID
52,66,43,10,92,MID
53,68,56,13,87,MID
30,54,48,14,85,DEF
56,73,47,13,62,MID
72,71,44,9,68,MID
38,20,14,70,35,GK
61,73,68,11,81,MID
46,22,14,66,34,GK
58,67,48,13,72,MID
62,58,24,14,70,MID
87,67,74,9,71,ST
74,69,52,11,62,MID
68,75,46,6,66,MID
57,62,54,8,70,MID
75,72,61,8,76,MID
71,71,33,8,71,DEF
65,61,35,13,72,MID
56,29,14,75,38,GK
62,75,60,8,75,MID
87,74,75,15,38,ST
54,76,68,15,61,MID
67,63,16,10,75,MID
58,72,56,9,68,MID
30,28,17,78,19,GK
72,71,54,10,83,MID
50,14,12,74,17,GK
69,71,45,6,72,MID
47,56,38,10,81,DEF
33,70,33,6,64,DEF
73,69,36,9,86,MID
53,74,70,14,65,MID
41,22,11,77,24,GK
52,31,12,73,45,GK
42,73,52,7,53,MID
63,56,17,8,65,MID
59,23,6,72,37,GK
65,68,56,15,72,MID
46,30,12,72,29,GK
71,72,61,9,72,MID
87,77,75,11,61,ST
58,21,13,77,27,GK
69,72,49,9,72,MID
57,60,45,8,84,MID
66,65,45,7,83,MID
42,21,11,73,22,GK
55,66,38,15,87,MID
35,14,9,76,26,GK
70,69,60,11,59,MID
61,63,36,13,69,MID
74,68,41,8,70,MID
67,57,25,7,75,MID
69,72,51,12,78,MID
86,74,72,7,32,ST
73,73,41,8,67,MID
71,69,41,16,71,MID
75,76,46,15,70,MID
32,54,35,12,70,DEF
87,73,72,15,57,ST
68,72,37,15,73,MID
84,66,48,12,75,DEF
68,75,69,8,65,MID
45,67,25,6,66,DEF
75,64,47,9,62,MID
52,75,53,14,52,MID
68,69,59,15,89,MID
74,68,39,9,65,MID
59,66,59,11,68,MID
53,69,48,12,68,MID
58,64,24,6,81,MID
67,58,33,11,79,MID
91,68,73,13,66,ST
75,76,45,7,72,MID
69,55,24,15,76,MID
46,52,21,7,74,DEF
66,73,43,11,66,MID
76,59,39,6,64,DEF
48,12,9,74,17,GK
33,17,12,73,23,GK
69,76,36,10,60,MID
64,68,20,10,84,DEF
69,74,55,7,85,MID
66,62,52,16,72,MID
54,73,63,12,87,MID
54,59,45,14,73,DEF
89,66,46,12,67,DEF
75,72,40,11,76,MID
53,21,10,73,25,GK
60,48,29,14,79,MID
68,72,62,7,66,MID
62,30,15,77,34,GK
65,69,63,9,75,MID
36,25,11,74,28,GK
74,63,26,5,70,MID
41,35,11,74,21,GK
33,72,36,7,67,DEF
63,50,33,12,77,MID
63,64,39,14,76,MID
64,76,68,6,68,MID
75,74,53,13,63,MID
76,57,32,10,70,DEF
73,68,35,7,75,MID
50,19,12,75,36,GK
68,75,66,8,76,MID
74,70,50,11,68,MID
52,55,36,14,70,MID
80,71,52,6,82,DEF
36,15,19,74,32,GK
69,63,43,11,71,MID
39,24,10,72,44,GK
52,53,19,11,78,MID
67,66,33,9,73,MID
67,75,65,14,72,MID
64,64,36,13,71,MID
69,66,65,7,81,MID
71,71,33,8,71,DEF
59,77,63,9,76,MID
73,72,37,12,77,MID
66,70,52,9,75,MID
74,74,64,6,61,MID
65,43,35,16,74,DEF
71,66,42,8,80,MID
75,73,31,8,59,MID
75,72,60,8,73,MID
52,74,60,12,74,MID
50,66,39,7,80,MID
47,23,11,74,26,GK
66,66,34,12,83,MID
65,59,28,13,73,MID
53,67,49,16,90,DEF
54,53,31,14,72,MID
62,73,61,15,70,MID
55,68,51,7,63,MID
61,65,53,9,73,MID
76,64,32,7,75,DEF
53,68,42,10,72,MID
56,63,42,15,78,MID
66,73,59,10,77,MID
68,75,69,8,65,MID
53,54,43,12,78,MID
53,66,44,14,73,MID
66,66,54,13,78,MID
67,56,34,12,86,MID
34,70,72,16,74,DEF
55,75,46,7,66,MID
59,66,59,11,68,MID
40,12,14,68,30,GK
68,77,47,10,49,MID
50,22,15,75,38,GK
75,73,66,15,56,MID
41,28,9,74,35,GK
66,67,24,11,78,MID
47,61,41,11,74,DEF
75,78,68,9,77,MID
55,76,53,9,71,MID
68,69,30,14,71,MID
69,69,28,15,73,MID
65,76,68,7,41,MID
28,44,43,11,85,DEF
91,72,75,8,69,ST
32,72,77,6,76,DEF
52,11,11,73,33,GK
62,60,44,11,78,MID
74,71,68,15,72,MID
70,68,42,11,90,MID
56,16,13,76,35,GK
64,66,26,9,59,DEF
70,70,45,1,67,MID
73,75,61,13,77,MID
73,70,36,10,79,MID
34,54,42,7,64,DEF
32,19,11,74,27,GK
65,66,61,10,85,MID
55,65,52,13,82,MID
70,72,69,13,42,MID
68,69,25,12,72,MID
71,50,28,11,61,DEF
76,72,52,15,74,DEF
43,78,60,6,63,MID
59,23,11,77,37,GK
52,59,27,11,69,MID
74,77,64,11,77,MID
38,23,14,73,39,GK
52,74,56,15,72,MID
69,72,68,11,50,MID
49,48,33,16,83,DEF
69,71,49,12,74,MID
52,62,48,13,75,MID
59,70,41,12,83,MID
80,72,48,11,73,DEF
55,75,53,6,75,MID
89,64,72,15,79,ST
69,72,64,11,75,MID
73,73,57,6,61,MID
67,76,45,12,76,MID
60,52,28,10,85,MID
73,73,47,12,71,MID
74,68,48,7,83,MID
67,73,66,16,72,MID
48,33,24,16,74,DEF
46,24,20,73,23,GK
69,55,31,6,71,MID
67,71,54,14,79,MID
75,67,39,7,61,MID
74,72,48,10,68,MID
55,24,13,73,24,GK
72,59,34,9,77,MID
67,77,61,8,55,MID
86,74,73,14,44,ST
66,59,38,8,77,MID
60,51,43,11,75,MID
35,15,11,78,17,GK
28,24,13,76,25,GK
64,68,41,12,71,MID
66,62,33,9,76,MID
72,72,46,6,78,MID
47,70,77,15,79,DEF
44,58,22,9,77,DEF
72,59,36,7,76,MID
74,65,38,11,64,MID
71,80,64,16,77,DEF
49,15,16,73,15,GK
69,68,32,13,78,MID
65,56,45,9,75,MID
67,63,51,11,70,MID
58,71,53,10,74,MID
66,73,53,8,78,MID
60,67,34,11,77,MID
50,25,22,69,33,GK
74,73,51,10,77,MID
68,68,65,6,74,MID
75,75,67,14,69,MID
66,77,40,12,71,MID
74,72,40,5,68,MID
53,63,52,14,69,MID
68,68,40,8,59,MID
65,73,54,6,82,MID
65,77,33,9,77,MID
54,69,40,8,73,MID
43,20,11,72,36,GK
71,73,40,9,69,MID
38,28,14,74,35,GK
69,74,55,15,86,MID
34,63,29,9,74,DEF
48,69,44,7,71,DEF
69,41,23,15,64,DEF
63,65,25,6,68,MID
69,71,53,13,78,MID
65,58,33,16,75,MID
58,75,68,7,62,MID
58,25,13,77,27,GK
75,58,29,9,70,MID
77,72,43,8,67,DEF
90,78,72,7,60,ST
45,23,16,74,29,GK
42,51,11,73,22,GK
36,20,12,72,27,GK
47,55,47,13,81,DEF
69,75,51,5,68,MID
54,64,23,15,62,MID
63,70,47,16,77,MID
63,69,65,9,77,MID
64,71,65,6,76,MID
45,32,15,79,30,GK
44,23,18,72,24,GK
71,67,52,9,81,MID
64,67,37,16,74,MID
67,77,38,4,72,MID
72,60,30,16,72,MID
34,58,29,13,75,DEF
58,62,38,15,76,MID
92,74,74,13,61,ST
54,51,32,8,85,MID
50,62,26,7,82,MID
33,60,32,6,86,DEF
68,71,56,13,77,MID
74,72,44,14,74,MID
64,68,20,10,84,DEF
41,22,11,77,24,GK
47,73,39,6,62,DEF
64,55,27,7,75,MID
66,71,47,8,93,MID
66,62,52,16,72,MID
59,23,6,72,37,GK
52,67,49,16,77,MID
47,15,12,73,24,GK
60,63,20,11,76,MID
63,50,33,12,77,MID
64,71,61,6,81,MID
54,65,42,12,75,MID
70,74,48,6,69,MID
70,76,66,10,68,MID
50,72,40,8,66,MID
66,75,68,6,73,MID
42,50,28,15,80,DEF
68,73,63,9,76,MID
75,71,43,8,79,MID
69,63,43,11,71,MID
72,74,52,7,72,MID
54,71,29,14,68,MID
75,77,47,13,56,MID
78,70,60,16,70,DEF
53,73,64,7,79,MID
44,73,77,11,71,DEF
32,28,11,74,31,GK
26,29,9,71,36,GK
71,66,42,8,80,MID
48,70,56,15,68,DEF
66,67,56,15,86,MID
41,17,18,75,40,GK
61,72,62,12,92,MID
66,69,62,15,81,MID
49,19,19,76,24,GK
48,19,17,71,16,GK
61,65,53,9,73,MID
69,75,58,7,71,MID
62,75,54,7,76,MID
91,76,73,14,32,ST
52,64,34,11,78,MID
72,73,57,12,74,MID
65,70,40,9,74,MID
76,74,50,15,80,DEF
66,66,54,13,78,MID
71,73,41,15,75,MID
37,55,25,11,73,DEF
64,59,24,12,60,MID
60,76,38,12,59,MID
56,72,49,16,80,MID
87,78,72,13,57,ST
73,73,54,12,74,MID
